INVOICE,DATE,VEHICLE,DESCRIPTION,QUANTITY,COST,TOTAL,SUPPLIER,OWNER
364,,,Engine Oil,4,675.0,2700.0,KARIMI AUTO GARAGE,FIRESIDE
364,,,Air Cleaner,1,500.0,500.0,KARIMI AUTO GARAGE,FIRESIDE
364,,,Spark Plugs,4,875.0,3500.0,KARIMI AUTO GARAGE,FIRESIDE
364,,,Mechanic Labour,1,1500.0,1500.0,KARIMI AUTO GARAGE,FIRESIDE
363,,,Engine Oil,4,675.0,2700.0,KARIMI AUTO GARAGE,FIRESIDE
363,,,Spark Plugs,4,875.0,3500.0,KARIMI AUTO GARAGE,FIRESIDE
363,,,Air Cleaner,1,500.0,500.0,KARIMI AUTO GARAGE,FIRESIDE
363,,,Oil Filter,1,350.0,350.0,KARIMI AUTO GARAGE,FIRESIDE
363,,,Brake pads holder,1,200.0,200.0,KARIMI AUTO GARAGE,FIRESIDE
363,,,Mechanic Labour,1,1500.0,1500.0,KARIMI AUTO GARAGE,FIRESIDE
358,,KCU 938Q,Engine Oil,4,787.5,3150.0,KARIMI AUTO GARAGE,FIRESIDE
358,,KCU 938Q,Air Cleaner,1,850.0,850.0,KARIMI AUTO GARAGE,FIRESIDE
358,,KCU 938Q,Mechanic Labour,1,1500.0,1500.0,KARIMI AUTO GARAGE,FIRESIDE
,,,Brake pads holder,1,2550.0,2550.0,KARIMI AUTO GARAGE,FIRESIDE
,,,Mechanic Labour,1,1500.0,1500.0,KARIMI AUTO GARAGE,FIRESIDE
361,,,Engine Oil,4,675.0,2700.0,KARIMI AUTO GARAGE,FIRESIDE
361,,,Air Cleaner,1,500.0,500.0,KARIMI AUTO GARAGE,FIRESIDE
357,23/12/2024,,Spark Plugs,4,875.0,3500.0,KARIMI AUTO GARAGE,FIRESIDE
357,23/12/2024,,Mechanic Labour,1,3840.0,3840.0,KARIMI AUTO GARAGE,FIRESIDE
1033,25/07/2025,KCY 080X,LABOUR,1,1000.0,1000.0,MENEKA AUTO SERVICES,FIRESIDE
1026,01/07/2025,KCY 080X,ENGINE OIL,1,2800.0,2800.0,MENEKA AUTO SERVICES,FIRESIDE
1026,01/07/2025,KCY 080X,OIL FILTER,1,550.0,550.0,MENEKA AUTO SERVICES,FIRESIDE
1026,01/07/2025,KCY 080X,AIR FILTER,1,550.0,550.0,MENEKA AUTO SERVICES,FIRESIDE
1026,01/07/2025,KCY 080X,LABOUR,1,1000.0,1000.0,MENEKA AUTO SERVICES,FIRESIDE
1028,04/07/2025,KCQ 215F,LABOUR,1,1500.0,1500.0,MENEKA AUTO SERVICES,FIRESIDE
1029,05/07/2025,KDK 732K,ENGINE OIL,1,2800.0,2800.0,MENEKA AUTO SERVICES,FIRESIDE
